期号	日期	红球1	红球2	红球3	红球4	红球5	红球6	蓝球
2025093	2025-08-14	09	11	12	24	25	26	10
2025092	2025-08-12	02	11	14	17	23	24	12
2025091	2025-08-10	03	04	17	19	25	27	14
2025090	2025-08-07	06	11	12	21	27	28	15
2025089	2025-08-05	04	06	08	18	31	33	05
2025088	2025-08-03	01	03	13	18	21	25	06
2025087	2025-07-31	02	06	14	15	24	26	08
2025086	2025-07-29	02	06	08	10	17	24	06
2025085	2025-07-27	11	14	15	18	21	24	13
2025084	2025-07-24	06	08	10	14	24	33	15
2025083	2025-07-22	10	15	16	17	27	29	12
2025082	2025-07-20	04	06	09	14	32	33	11
2025081	2025-07-17	03	06	18	20	23	28	05
2025080	2025-07-15	03	07	08	10	16	19	05
2025079	2025-07-13	08	11	14	15	30	32	05
2025078	2025-07-10	06	15	17	30	32	33	14
2025077	2025-07-08	04	07	08	15	20	21	15
2025076	2025-07-06	02	06	09	12	14	30	08
2025075	2025-07-03	10	12	14	19	20	21	15
2025074	2025-07-01	03	04	12	20	32	33	13
2025073	2025-06-29	02	07	10	27	30	33	11
2025072	2025-06-26	02	14	17	25	27	29	05
2025071	2025-06-24	01	12	18	23	25	28	07
2025070	2025-06-22	02	03	15	21	22	33	06
2025069	2025-06-19	02	04	19	23	27	30	05
2025068	2025-06-17	05	07	08	19	20	31	07
2025067	2025-06-15	01	05	10	17	20	22	05
2025066	2025-06-12	06	22	24	27	28	30	04
2025065	2025-06-10	06	10	13	14	15	20	11
2025064	2025-06-08	02	10	13	22	29	33	16
2025063	2025-06-05	02	19	21	22	28	30	01
2025062	2025-06-03	06	08	09	13	25	31	14
2025061	2025-06-01	06	07	09	10	11	32	09
2025060	2025-05-29	06	14	18	25	28	30	01
2025059	2025-05-27	04	10	11	12	13	24	01
2025058	2025-05-25	02	06	07	09	10	20	06
2025057	2025-05-22	04	09	15	16	25	30	14
2025056	2025-05-20	01	02	10	14	28	31	03
2025055	2025-05-18	02	05	22	27	29	33	12
2025054	2025-05-15	05	07	10	21	24	27	16
2025053	2025-05-13	06	09	10	13	30	33	07
2025052	2025-05-11	06	07	10	17	20	26	09
2025051	2025-05-08	01	02	03	04	17	22	01
2025050	2025-05-06	09	12	15	18	22	33	16
2025049	2025-05-04	03	06	19	27	29	33	11
2025048	2025-05-01	16	21	22	23	27	31	10
2025047	2025-04-29	01	14	21	22	23	31	12
2025046	2025-04-27	02	03	10	16	29	33	01
2025045	2025-04-24	02	14	19	24	29	33	13
2025044	2025-04-22	02	03	07	08	14	28	11
2025043	2025-04-20	03	12	16	19	20	32	13
2025042	2025-04-17	07	13	19	23	27	33	12
2025041	2025-04-15	06	10	17	19	25	31	06
2025040	2025-04-13	02	06	08	09	10	24	11
2025039	2025-04-10	08	10	12	15	17	23	11
2025038	2025-04-08	06	19	20	23	26	33	09
2025037	2025-04-06	03	06	11	20	21	31	02
2025036	2025-04-03	05	11	13	16	19	32	07
2025035	2025-04-01	01	08	16	18	25	31	01
2025034	2025-03-30	05	08	13	14	24	26	12
2025033	2025-03-27	03	05	18	25	26	33	08
2025032	2025-03-25	03	08	10	14	16	21	03
2025031	2025-03-23	01	05	06	08	23	28	01
2025030	2025-03-20	04	06	07	30	31	33	06
2025029	2025-03-18	05	15	16	25	30	33	16
2025028	2025-03-16	04	09	14	15	18	25	15
2025027	2025-03-13	05	07	08	15	16	23	06
2025026	2025-03-11	09	10	12	14	19	32	07
2025025	2025-03-09	12	15	21	23	25	30	02
2025024	2025-03-06	10	11	22	27	30	32	15
2025023	2025-03-04	09	12	13	24	25	33	07
2025022	2025-03-02	11	17	18	20	28	30	10
2025021	2025-02-27	07	08	16	18	25	32	14
2025020	2025-02-25	04	11	13	16	26	30	15
2025019	2025-02-23	05	13	17	18	22	23	11
2025018	2025-02-20	03	09	18	21	28	29	11
2025017	2025-02-18	04	12	15	18	28	29	05
2025016	2025-02-16	02	03	12	16	20	29	14
2025015	2025-02-13	04	11	15	24	25	33	15
2025014	2025-02-11	06	07	09	13	21	27	05
2025013	2025-02-09	04	14	16	23	24	30	14
2025012	2025-02-06	07	11	13	18	27	31	11
2025011	2025-01-26	06	13	17	22	24	29	11
2025010	2025-01-23	04	06	07	16	17	21	08
2025009	2025-01-21	02	04	11	12	23	25	06
2025008	2025-01-19	09	14	16	17	25	33	11
2025007	2025-01-16	07	08	14	18	21	27	11
2025006	2025-01-14	01	07	08	17	20	22	06
2025005	2025-01-12	10	16	19	27	28	30	09
2025004	2025-01-09	03	07	17	27	29	32	04
2025003	2025-01-07	10	19	20	26	28	29	15
2025002	2025-01-05	09	12	13	15	22	26	11
2025001	2025-01-02	02	03	17	18	22	33	16
2024151	2024-12-31	05	10	16	19	29	32	04
2024150	2024-12-29	13	14	20	22	26	32	02
2024149	2024-12-26	03	09	16	17	18	22	16
2024148	2024-12-24	02	06	15	16	21	23	11
2024147	2024-12-22	05	11	13	16	21	30	10
2024146	2024-12-19	02	04	11	22	27	32	10
2024145	2024-12-17	01	03	16	22	23	30	03
2024144	2024-12-15	02	09	11	17	20	30	11
2024143	2024-12-12	02	05	11	22	30	33	10
2024142	2024-12-10	04	06	13	21	22	25	06
2024141	2024-12-08	01	02	07	15	24	29	12
2024140	2024-12-05	04	07	08	17	22	26	15
2024139	2024-12-03	15	16	20	22	23	29	14
2024138	2024-12-01	02	07	11	21	27	28	02
2024137	2024-11-28	04	09	10	19	26	27	12
2024136	2024-11-26	03	11	15	21	25	26	03
2024135	2024-11-24	05	11	17	18	30	31	13
2024134	2024-11-21	02	04	13	16	18	20	16
2024133	2024-11-19	01	11	15	27	30	33	01
2024132	2024-11-17	01	04	25	27	28	33	03
2024131	2024-11-14	04	05	11	15	20	32	13
2024130	2024-11-12	01	08	12	17	19	24	16
2024129	2024-11-10	09	10	13	19	24	32	01
2024128	2024-11-07	01	08	13	18	20	26	16
2024127	2024-11-05	02	05	13	20	27	32	10
2024126	2024-11-03	14	18	23	24	26	33	10
2024125	2024-10-31	01	04	13	18	26	30	03
2024124	2024-10-29	02	14	15	17	25	30	11
2024123	2024-10-27	02	15	22	26	30	33	04
2024122	2024-10-24	05	07	09	16	17	29	15
2024121	2024-10-22	01	07	10	13	27	33	03
2024120	2024-10-20	01	05	07	11	18	19	07
2024119	2024-10-17	02	09	26	27	31	32	14
2024118	2024-10-15	02	03	04	06	11	15	14
2024117	2024-10-13	03	12	14	16	29	32	12
2024116	2024-10-10	01	15	20	22	31	32	03
2024115	2024-10-08	03	10	11	19	27	28	07
2024114	2024-10-06	07	11	18	24	27	32	04
2024113	2024-09-29	04	05	23	24	26	31	11
2024112	2024-09-26	08	11	16	25	29	32	03
2024111	2024-09-24	01	04	11	12	22	30	16
2024110	2024-09-22	04	13	17	23	25	33	14
2024109	2024-09-19	03	04	24	28	29	33	09
2024108	2024-09-17	01	08	09	23	24	30	08
2024107	2024-09-15	01	06	08	13	17	19	09
2024106	2024-09-12	03	08	11	22	31	33	04
2024105	2024-09-10	02	05	17	19	29	33	04
2024104	2024-09-08	05	16	23	24	26	29	04
2024103	2024-09-05	12	21	23	27	32	33	15
2024102	2024-09-03	09	15	18	21	22	25	01
2024101	2024-09-01	08	12	15	17	19	30	08
2024100	2024-08-29	13	14	19	20	27	30	05
2024099	2024-08-27	04	12	17	24	26	27	16
2024098	2024-08-25	03	08	10	20	30	31	02
2024097	2024-08-22	04	10	12	13	18	30	03
2024096	2024-08-20	02	04	14	18	23	27	13
2024095	2024-08-18	04	06	09	14	16	21	03
2024094	2024-08-15	06	13	17	22	25	27	09
2024093	2024-08-13	01	05	07	11	12	15	12
2024092	2024-08-11	03	08	11	12	18	29	05
2024091	2024-08-08	13	15	16	19	20	24	10
2024090	2024-08-06	07	11	17	24	31	32	12
2024089	2024-08-04	03	06	09	15	18	31	01
2024088	2024-08-01	03	08	10	17	30	32	10
2024087	2024-07-30	03	09	18	19	20	26	11
2024086	2024-07-28	17	19	20	23	25	31	02
2024085	2024-07-25	01	05	15	21	23	27	15
2024084	2024-07-23	01	08	10	13	19	29	13
2024083	2024-07-21	03	09	14	29	32	33	15
2024082	2024-07-18	01	02	13	16	17	29	16
2024081	2024-07-16	01	06	12	17	23	25	04
2024080	2024-07-14	06	11	12	27	29	30	13
2024079	2024-07-11	02	03	06	07	16	26	04
2024078	2024-07-09	05	09	14	21	22	26	12
2024077	2024-07-07	01	04	06	14	17	22	08
2024076	2024-07-04	03	22	24	27	29	32	15
2024075	2024-07-02	03	05	08	18	22	28	01
2024074	2024-06-30	07	08	10	22	24	32	07
2024073	2024-06-27	03	09	12	18	28	30	01
2024072	2024-06-25	01	14	20	21	23	27	06
2024071	2024-06-23	02	08	19	28	30	31	14
2024070	2024-06-20	04	13	18	20	22	28	05
2024069	2024-06-18	06	13	20	21	24	32	06
2024068	2024-06-16	01	02	07	19	20	21	01
2024067	2024-06-13	01	11	13	17	25	29	03
2024066	2024-06-11	08	09	12	22	26	32	13
2024065	2024-06-09	03	05	09	10	19	22	14
2024064	2024-06-06	06	08	17	18	28	30	05
2024063	2024-06-04	07	14	16	23	28	32	04
2024062	2024-06-02	01	07	10	16	18	27	16
2024061	2024-05-30	01	09	18	22	25	28	02
2024060	2024-05-28	01	02	06	10	22	28	15
2024059	2024-05-26	01	03	14	25	31	33	07
2024058	2024-05-23	08	12	13	17	27	29	13
2024057	2024-05-21	03	08	17	18	23	31	08
2024056	2024-05-19	05	18	20	24	25	26	06
2024055	2024-05-16	02	04	06	07	16	29	03
2024054	2024-05-14	08	13	20	25	31	32	03
2024053	2024-05-12	07	14	21	22	28	33	07
2024052	2024-05-09	07	10	11	15	17	21	03
2024051	2024-05-07	05	09	13	20	23	28	06
2024050	2024-05-05	01	03	07	10	22	33	02
2024049	2024-05-02	12	15	17	23	26	32	11
2024048	2024-04-30	02	09	15	19	26	28	02
2024047	2024-04-28	07	08	21	26	29	30	15
2024046	2024-04-25	02	06	10	11	17	29	15
2024045	2024-04-23	02	08	19	23	24	26	03
2024044	2024-04-21	02	06	17	25	32	33	06
2024043	2024-04-18	04	06	07	14	15	24	08
2024042	2024-04-16	02	04	05	14	26	32	14
2024041	2024-04-14	02	09	12	22	25	33	16
2024040	2024-04-11	11	14	18	19	23	26	02
2024039	2024-04-09	02	06	12	29	30	31	10
2024038	2024-04-07	08	10	18	23	27	31	02
2024037	2024-04-04	01	04	05	06	12	14	13
2024036	2024-04-02	02	08	09	12	21	31	02
2024035	2024-03-31	05	07	14	17	22	32	06
2024034	2024-03-28	02	09	12	19	21	31	04
2024033	2024-03-26	06	10	11	18	20	32	05
2024032	2024-03-24	01	03	04	11	12	21	16
2024031	2024-03-21	09	10	13	25	30	32	02
2024030	2024-03-19	01	08	22	25	29	33	10
2024029	2024-03-17	12	18	23	25	28	33	04
2024028	2024-03-14	03	07	08	11	18	19	05
2024027	2024-03-12	02	06	13	27	28	32	13
2024026	2024-03-10	04	07	18	19	20	25	06
2024025	2024-03-07	08	15	21	22	25	33	13
2024024	2024-03-05	03	07	21	24	26	30	10
2024023	2024-03-03	01	10	22	25	28	32	10
2024022	2024-02-29	02	09	11	14	18	26	06
2024021	2024-02-27	04	06	16	17	23	24	11
2024020	2024-02-25	03	08	12	14	17	33	08
2024019	2024-02-22	05	11	12	16	17	20	08
2024018	2024-02-20	06	15	17	24	28	29	16
2024017	2024-02-18	04	17	19	20	25	32	04
2024016	2024-02-06	07	12	20	24	32	33	04
2024015	2024-02-04	03	08	17	18	20	30	15
2024014	2024-02-01	01	02	10	22	24	25	13
2024013	2024-01-30	01	07	10	14	21	25	07
2024012	2024-01-28	01	03	07	18	22	28	15
2024011	2024-01-25	08	12	16	20	27	31	06
2024010	2024-01-23	11	16	20	21	23	24	04
2024009	2024-01-21	01	04	07	10	17	23	14
2024008	2024-01-18	08	20	21	23	27	30	13
2024007	2024-01-16	04	05	06	07	20	22	15
2024006	2024-01-14	07	18	20	21	26	32	05
2024005	2024-01-11	05	06	20	23	25	32	03
2024004	2024-01-09	09	13	17	18	21	27	04
2024003	2024-01-07	01	05	08	13	32	33	03
2024002	2024-01-04	04	09	10	17	19	20	09
2024001	2024-01-02	03	07	16	26	27	32	16
2023151	2023-12-31	01	15	16	20	25	27	05
2023150	2023-12-28	10	17	25	26	30	33	05
2023149	2023-12-26	02	10	19	24	26	33	15
2023148	2023-12-24	03	05	07	09	19	20	08
2023147	2023-12-21	05	06	14	16	19	32	12
2023146	2023-12-19	02	03	06	11	20	32	09
2023145	2023-12-17	07	10	21	22	23	24	11
2023144	2023-12-14	12	16	17	22	25	27	08
2023143	2023-12-12	05	07	09	16	23	30	15
2023142	2023-12-10	02	08	20	21	27	33	14
2023141	2023-12-07	01	08	11	12	21	23	03
2023140	2023-12-05	03	04	11	14	30	31	05
2023139	2023-12-03	12	14	19	21	27	31	11
2023138	2023-11-30	03	22	28	30	31	33	04
2023137	2023-11-28	03	12	17	19	23	27	11
2023136	2023-11-26	03	05	10	21	22	26	10
2023135	2023-11-23	05	06	11	13	28	30	07
2023134	2023-11-21	05	08	09	17	22	33	04
2023133	2023-11-19	04	05	10	14	22	25	03
2023132	2023-11-16	03	09	11	15	25	27	01
2023131	2023-11-14	06	07	14	20	26	32	01
2023130	2023-11-12	04	10	17	22	23	32	16
2023129	2023-11-09	08	09	12	17	32	33	04
2023128	2023-11-07	07	16	20	21	27	33	01
2023127	2023-11-05	03	08	19	22	26	32	14
2023126	2023-11-02	10	24	26	28	29	31	16
2023125	2023-10-31	11	14	15	27	30	33	04
2023124	2023-10-29	02	03	17	18	25	30	11
2023123	2023-10-26	10	13	15	22	29	32	15
2023122	2023-10-24	07	08	14	18	20	30	05
2023121	2023-10-22	02	12	16	25	30	31	12
2023120	2023-10-19	03	08	13	24	27	29	08
2023119	2023-10-17	01	02	03	19	21	28	15
2023118	2023-10-15	01	02	11	19	25	29	04
2023117	2023-10-12	02	11	14	17	18	28	08
2023116	2023-10-10	02	08	09	13	24	27	12
2023115	2023-10-08	02	07	16	21	26	27	16
2023114	2023-10-05	07	09	15	16	17	26	09
2023113	2023-09-28	01	02	13	18	25	27	03
2023112	2023-09-26	09	12	13	22	24	31	04
2023111	2023-09-24	05	06	12	17	20	33	09
2023110	2023-09-21	02	06	20	25	29	33	16
2023109	2023-09-19	06	08	10	13	16	28	13
2023108	2023-09-17	01	03	06	08	18	24	09
2023107	2023-09-14	03	07	18	25	29	33	14
2023106	2023-09-12	07	09	10	20	22	24	07
2023105	2023-09-10	01	03	05	26	30	32	16
2023104	2023-09-07	10	19	23	25	30	31	12
2023103	2023-09-05	05	06	13	24	25	29	15
2023102	2023-09-03	01	09	10	13	21	28	10
2023101	2023-08-31	01	05	09	15	18	26	04
2023100	2023-08-29	05	06	12	15	23	25	04
2023099	2023-08-27	09	11	14	19	27	33	05
2023098	2023-08-24	02	10	11	14	21	27	11
2023097	2023-08-22	01	09	14	19	29	30	15
2023096	2023-08-20	08	11	18	26	31	32	15
2023095	2023-08-17	03	08	16	17	22	26	11
2023094	2023-08-15	06	10	12	14	30	31	12
2023093	2023-08-13	10	21	24	25	27	32	07
2023092	2023-08-10	03	12	24	25	32	33	13
2023091	2023-08-08	16	20	22	26	30	32	16
2023090	2023-08-06	01	02	09	26	30	31	07
2023089	2023-08-03	08	13	15	27	28	31	11
2023088	2023-08-01	01	14	18	26	31	33	05
2023087	2023-07-30	02	09	15	17	28	33	01
2023086	2023-07-27	08	09	10	22	26	32	12
2023085	2023-07-25	11	18	23	24	31	33	13
2023084	2023-07-23	09	13	14	17	19	27	03
2023083	2023-07-20	07	10	12	16	17	30	12
2023082	2023-07-18	04	18	19	24	27	30	16
2023081	2023-07-16	01	11	15	16	22	31	15
2023080	2023-07-13	01	02	04	09	25	31	08
2023079	2023-07-11	05	06	09	12	21	22	07
2023078	2023-07-09	06	08	14	19	30	31	08
2023077	2023-07-06	07	09	14	22	26	27	01
2023076	2023-07-04	03	04	15	18	19	22	09
2023075	2023-07-02	13	15	24	28	30	31	01
2023074	2023-06-29	02	08	09	18	19	21	03
2023073	2023-06-27	01	03	15	16	25	32	10
2023072	2023-06-25	02	06	10	24	25	33	09
2023071	2023-06-22	05	12	15	19	24	26	06
2023070	2023-06-20	03	05	25	31	32	33	04
2023069	2023-06-18	12	14	17	20	21	26	02
2023068	2023-06-15	11	12	15	18	29	33	02
2023067	2023-06-13	01	03	12	19	28	32	14
2023066	2023-06-11	02	07	08	10	26	31	06
2023065	2023-06-08	02	14	17	20	26	33	14
2023064	2023-06-06	01	07	11	12	16	18	04
2023063	2023-06-04	04	08	17	20	22	27	13
2023062	2023-06-01	11	19	23	24	26	33	15
2023061	2023-05-30	01	04	06	11	12	22	15
2023060	2023-05-28	09	11	17	19	30	31	11
2023059	2023-05-25	02	06	13	22	27	32	06
2023058	2023-05-23	10	17	22	26	30	33	11
2023057	2023-05-21	02	05	10	17	24	32	03
2023056	2023-05-18	08	14	15	18	23	33	08
2023055	2023-05-16	03	04	20	23	27	32	13
2023054	2023-05-14	05	06	09	10	15	26	12
2023053	2023-05-11	01	07	14	20	27	30	15
2023052	2023-05-09	03	04	05	08	12	17	06
2023051	2023-05-07	22	26	29	30	32	33	14
2023050	2023-05-04	02	07	09	14	22	23	05
2023049	2023-05-02	05	07	14	23	25	27	02
2023048	2023-04-30	02	03	10	24	28	30	08
2023047	2023-04-27	05	07	14	23	31	33	07
2023046	2023-04-25	06	08	17	25	26	28	03
2023045	2023-04-23	03	06	12	21	27	28	04
2023044	2023-04-20	02	08	15	22	24	26	16
2023043	2023-04-18	05	08	12	20	24	28	10
2023042	2023-04-16	10	17	20	23	27	30	10
2023041	2023-04-13	01	06	12	13	15	24	06
2023040	2023-04-11	09	16	17	24	29	31	08
2023039	2023-04-09	02	03	09	13	19	28	09
2023038	2023-04-06	02	09	14	17	31	33	08
2023037	2023-04-04	08	23	25	26	29	31	12
2023036	2023-04-02	13	14	18	19	24	30	09
2023035	2023-03-30	01	04	09	10	20	33	06
2023034	2023-03-28	02	03	09	11	12	17	15
2023033	2023-03-26	08	09	13	23	24	26	05
2023032	2023-03-23	06	19	20	26	28	33	01
2023031	2023-03-21	07	14	27	29	31	33	05
2023030	2023-03-19	02	03	07	16	30	31	06
2023029	2023-03-16	03	07	12	24	28	33	08
2023028	2023-03-14	05	07	10	17	20	22	14
2023027	2023-03-12	08	10	22	27	32	33	08
2023026	2023-03-09	01	18	26	30	31	33	03
2023025	2023-03-07	04	16	20	21	31	32	14
2023024	2023-03-05	03	06	09	17	27	28	03
2023023	2023-03-02	05	08	10	15	24	25	09
2023022	2023-02-28	10	11	18	19	23	31	03
2023021	2023-02-26	02	05	06	19	21	27	04
2023020	2023-02-23	01	12	17	18	26	27	05
2023019	2023-02-21	06	12	26	28	29	32	15
2023018	2023-02-19	10	12	17	19	25	31	13
2023017	2023-02-16	05	11	18	20	26	28	12
2023016	2023-02-14	14	16	19	23	28	30	03
2023015	2023-02-12	02	03	14	21	29	32	08
2023014	2023-02-09	06	07	18	23	27	30	05
2023013	2023-02-07	06	10	14	22	23	33	13
2023012	2023-02-05	03	04	07	22	26	30	06
2023011	2023-02-02	06	07	16	17	21	22	04
2023010	2023-01-31	04	05	13	18	27	29	12
2023009	2023-01-29	03	04	19	23	30	32	06
2023008	2023-01-17	05	13	18	20	26	28	06
2023007	2023-01-15	05	06	09	22	25	31	03
2023006	2023-01-12	02	10	12	14	24	26	05
2023005	2023-01-10	02	06	08	13	14	19	16
2023004	2023-01-08	01	07	15	16	20	25	16
2023003	2023-01-05	05	08	18	25	30	32	06
2023002	2023-01-03	02	06	10	16	18	22	13
2023001	2023-01-01	09	16	18	22	28	32	02
2022150	2022-12-29	01	07	11	12	22	28	05
2022149	2022-12-27	02	22	26	29	32	33	14
2022148	2022-12-25	02	15	16	17	21	31	14
2022147	2022-12-22	02	03	07	13	20	30	10
2022146	2022-12-20	06	07	13	18	26	31	06
2022145	2022-12-18	03	21	25	30	31	33	11
2022144	2022-12-15	07	20	22	23	31	32	05
2022143	2022-12-13	07	08	13	29	30	33	03
2022142	2022-12-11	01	03	13	16	21	27	03
2022141	2022-12-08	05	12	13	17	20	27	14
2022140	2022-12-06	08	09	18	19	20	27	15
2022139	2022-12-04	06	07	09	16	17	19	14
2022138	2022-12-01	02	14	19	21	25	28	11
2022137	2022-11-29	08	21	23	27	28	33	01
2022136	2022-11-27	08	10	14	15	18	22	08
2022135	2022-11-24	09	11	13	24	28	32	06
2022134	2022-11-22	01	05	14	17	24	31	14
2022133	2022-11-20	05	08	16	17	21	25	12
2022132	2022-11-17	01	03	18	26	32	33	04
2022131	2022-11-15	03	05	10	13	19	29	06
2022130	2022-11-13	02	08	15	17	26	28	12
2022129	2022-11-10	10	12	14	22	24	27	07
2022128	2022-11-08	03	12	18	24	27	29	01
2022127	2022-11-06	03	04	09	10	29	33	13
2022126	2022-11-03	01	13	15	17	26	33	13
2022125	2022-11-01	02	03	07	12	20	31	16
2022124	2022-10-30	05	10	13	18	24	26	01
2022123	2022-10-27	10	13	16	20	21	25	05
2022122	2022-10-25	06	08	17	19	24	28	05
2022121	2022-10-23	12	17	22	27	30	31	02
2022120	2022-10-20	02	15	19	26	27	29	02
2022119	2022-10-18	02	05	15	18	26	27	04
2022118	2022-10-16	02	06	07	11	14	33	08
2022117	2022-10-13	04	13	17	18	28	29	06
2022116	2022-10-11	08	14	26	27	30	33	01
2022115	2022-10-09	06	07	18	20	27	29	09
2022114	2022-10-06	01	05	15	19	26	29	13
2022113	2022-09-29	13	14	20	24	27	29	02
2022112	2022-09-27	03	05	08	17	25	31	01
2022111	2022-09-25	02	10	11	13	28	31	01
2022110	2022-09-22	09	13	15	18	20	28	15
2022109	2022-09-20	04	11	13	19	22	33	11
2022108	2022-09-18	01	07	13	17	18	31	15
2022107	2022-09-15	03	09	11	15	19	28	16
2022106	2022-09-13	17	20	22	23	24	31	01
2022105	2022-09-11	06	12	13	15	21	23	15
2022104	2022-09-08	01	08	19	25	26	31	01
2022103	2022-09-06	06	09	12	14	20	28	10
